Date : 2021-04-08 18:07:32
Directory : d:\code\source code\vue-next
Total : 432 files,  77307 codes, 28867 comments, 8815 blanks, all 114989 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\code\source code\vue-next\packages\compiler-core\__tests__\transform.spec.ts                         | TypeScript       |        317 |         13 |         36 |        366 |
| d:\code\source code\vue-next\packages\compiler-core\__tests__\transforms\hoistStatic.spec.ts            | TypeScript       |        579 |          3 |         32 |        614 |
| d:\code\source code\vue-next\packages\compiler-core\__tests__\transforms\noopDirectiveTransform.spec.ts | TypeScript       |         21 |          2 |          2 |         25 |
| d:\code\source code\vue-next\packages\compiler-core\__tests__\transforms\transformElement.spec.ts       | TypeScript       |        814 |         20 |         68 |        902 |
| d:\code\source code\vue-next\packages\compiler-core\__tests__\transforms\transformExpressions.spec.ts   | TypeScript       |        475 |          2 |         32 |        509 |
| d:\code\source code\vue-next\packages\compiler-core\__tests__\transforms\transformSlotOutlet.spec.ts    | TypeScript       |        358 |          2 |         15 |        375 |
| d:\code\source code\vue-next\packages\compiler-core\__tests__\transforms\transformText.spec.ts          | TypeScript       |        183 |          5 |          9 |        197 |
| d:\code\source code\vue-next\packages\compiler-core\__tests__\transforms\vBind.spec.ts                  | TypeScript       |        160 |          0 |          8 |        168 |
| d:\code\source code\vue-next\packages\compiler-core\__tests__\transforms\vFor.spec.ts                   | TypeScript       |        919 |         10 |         73 |      1,002 |
| d:\code\source code\vue-next\packages\compiler-core\__tests__\transforms\vIf.spec.ts                    | TypeScript       |        651 |          4 |         54 |        709 |
| d:\code\source code\vue-next\packages\compiler-core\__tests__\transforms\vModel.spec.ts                 | TypeScript       |        470 |          8 |         48 |        526 |
| d:\code\source code\vue-next\packages\compiler-core\__tests__\transforms\vOn.spec.ts                    | TypeScript       |        541 |         13 |         27 |        581 |
| d:\code\source code\vue-next\packages\compiler-core\__tests__\transforms\vOnce.spec.ts                  | TypeScript       |        127 |          3 |          9 |        139 |
| d:\code\source code\vue-next\packages\compiler-core\__tests__\transforms\vSlot.spec.ts                  | TypeScript       |        818 |          5 |         28 |        851 |
| d:\code\source code\vue-next\packages\compiler-core\__tests__\utils.spec.ts                             | TypeScript       |         58 |          0 |         12 |         70 |
| d:\code\source code\vue-next\packages\compiler-core\api-extractor.json                                  | JSON             |          7 |          0 |          1 |          8 |
| d:\code\source code\vue-next\packages\compiler-core\index.js                                            | JavaScript       |          6 |          0 |          2 |          8 |
| d:\code\source code\vue-next\packages\compiler-core\package.json                                        | JSON             |         40 |          0 |          1 |         41 |
| d:\code\source code\vue-next\packages\compiler-core\src\ast.ts                                          | TypeScript       |        642 |         49 |         94 |        785 |
| d:\code\source code\vue-next\packages\compiler-core\src\codegen.ts                                      | TypeScript       |        863 |         40 |         62 |        965 |
| d:\code\source code\vue-next\packages\compiler-core\src\compile.ts                                      | TypeScript       |         97 |          4 |          7 |        108 |
| d:\code\source code\vue-next\packages\compiler-core\src\errors.ts                                       | TypeScript       |        144 |         11 |         14 |        169 |
| d:\code\source code\vue-next\packages\compiler-core\src\index.ts                                        | TypeScript       |         55 |          1 |          4 |         60 |
| d:\code\source code\vue-next\packages\compiler-core\src\options.ts                                      | TypeScript       |         74 |        174 |          9 |        257 |
| d:\code\source code\vue-next\packages\compiler-core\src\parse.ts                                        | TypeScript       |        807 |         56 |         99 |        962 |
| d:\code\source code\vue-next\packages\compiler-core\src\runtimeHelpers.ts                               | TypeScript       |         67 |          3 |          3 |         73 |
| d:\code\source code\vue-next\packages\compiler-core\src\transform.ts                                    | TypeScript       |        402 |         44 |         22 |        468 |
| d:\code\source code\vue-next\packages\compiler-core\src\transforms\hoistStatic.ts                       | TypeScript       |        258 |         29 |         17 |        304 |
| d:\code\source code\vue-next\packages\compiler-core\src\transforms\noopDirectiveTransform.ts            | TypeScript       |          2 |          0 |          2 |          4 |
| d:\code\source code\vue-next\packages\compiler-core\src\transforms\transformElement.ts                  | TypeScript       |        556 |         74 |         40 |        670 |
