"filename", "language", "JSON", "JavaScript", "TypeScript", "TypeScript React", "Markdown", "CSS", "HTML", "SCSS", "YAML", "comment", "blank", "total"
"d:\code\source code\vue-next\packages\runtime-core\__tests__\apiExpose.spec.ts", "TypeScript", 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 13, 173
"d:\code\source code\vue-next\packages\runtime-core\__tests__\apiInject.spec.ts", "TypeScript", 0, 0, 259, 0, 0, 0, 0, 0, 0, 9, 54, 322
"d:\code\source code\vue-next\packages\runtime-core\__tests__\apiLifecycle.spec.ts", "TypeScript", 0, 0, 318, 0, 0, 0, 0, 0, 0, 13, 47, 378
"d:\code\source code\vue-next\packages\runtime-core\__tests__\apiOptions.spec.ts", "TypeScript", 0, 0, 1197, 0, 0, 0, 0, 0, 0, 14, 100, 1311
"d:\code\source code\vue-next\packages\runtime-core\__tests__\apiSetupContext.spec.ts", "TypeScript", 0, 0, 168, 0, 0, 0, 0, 0, 0, 12, 30, 210
"d:\code\source code\vue-next\packages\runtime-core\__tests__\apiSetupHelpers.spec.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 5, 50
"d:\code\source code\vue-next\packages\runtime-core\__tests__\apiTemplateRef.spec.ts", "TypeScript", 0, 0, 313, 0, 0, 0, 0, 0, 0, 7, 49, 369
"d:\code\source code\vue-next\packages\runtime-core\__tests__\apiWatch.spec.ts", "TypeScript", 0, 0, 739, 0, 0, 0, 0, 0, 0, 41, 101, 881
"d:\code\source code\vue-next\packages\runtime-core\__tests__\componentEmits.spec.ts", "TypeScript", 0, 0, 259, 0, 0, 0, 0, 0, 0, 12, 35, 306
"d:\code\source code\vue-next\packages\runtime-core\__tests__\componentProps.spec.ts", "TypeScript", 0, 0, 347, 0, 0, 0, 0, 0, 0, 9, 51, 407
"d:\code\source code\vue-next\packages\runtime-core\__tests__\componentPublicInstance.spec.ts", "TypeScript", 0, 0, 209, 0, 0, 0, 0, 0, 0, 14, 23, 246
"d:\code\source code\vue-next\packages\runtime-core\__tests__\componentSlots.spec.ts", "TypeScript", 0, 0, 196, 0, 0, 0, 0, 0, 0, 4, 42, 242
"d:\code\source code\vue-next\packages\runtime-core\__tests__\components\BaseTransition.spec.ts", "TypeScript", 0, 0, 903, 0, 0, 0, 0, 0, 0, 92, 100, 1095
"d:\code\source code\vue-next\packages\runtime-core\__tests__\components\KeepAlive.spec.ts", "TypeScript", 0, 0, 693, 0, 0, 0, 0, 0, 0, 21, 113, 827
"d:\code\source code\vue-next\packages\runtime-core\__tests__\components\Suspense.spec.ts", "TypeScript", 0, 0, 926, 0, 0, 0, 0, 0, 0, 50, 153, 1129
"d:\code\source code\vue-next\packages\runtime-core\__tests__\components\Teleport.spec.ts", "TypeScript", 0, 0, 354, 0, 0, 0, 0, 0, 0, 7, 51, 412
"d:\code\source code\vue-next\packages\runtime-core\__tests__\directives.spec.ts", "TypeScript", 0, 0, 277, 0, 0, 0, 0, 0, 0, 23, 71, 371
"d:\code\source code\vue-next\packages\runtime-core\__tests__\errorHandling.spec.ts", "TypeScript", 0, 0, 462, 0, 0, 0, 0, 0, 0, 3, 76, 541
"d:\code\source code\vue-next\packages\runtime-core\__tests__\h.spec.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 15, 7, 84
"d:\code\source code\vue-next\packages\runtime-core\__tests__\helpers\createSlots.spec.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 15, 57
"d:\code\source code\vue-next\packages\runtime-core\__tests__\helpers\renderList.spec.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 9, 58
"d:\code\source code\vue-next\packages\runtime-core\__tests__\helpers\renderSlot.spec.ts", "TypeScript", 0, 0, 66, 0, 0, 0, 0, 0, 0, 5, 9, 80
"d:\code\source code\vue-next\packages\runtime-core\__tests__\helpers\resolveAssets.spec.ts", "TypeScript", 0, 0, 183, 0, 0, 0, 0, 0, 0, 8, 22, 213
"d:\code\source code\vue-next\packages\runtime-core\__tests__\helpers\toHandlers.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\code\source code\vue-next\packages\runtime-core\__tests__\hmr.spec.ts", "TypeScript", 0, 0, 273, 0, 0, 0, 0, 0, 0, 13, 50, 336
"d:\code\source code\vue-next\packages\runtime-core\__tests__\hydration.spec.ts", "TypeScript", 0, 0, 595, 0, 0, 0, 0, 0, 0, 34, 96, 725
"d:\code\source code\vue-next\packages\runtime-core\__tests__\misc.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"d:\code\source code\vue-next\packages\runtime-core\__tests__\rendererAttrsFallthrough.spec.ts", "TypeScript", 0, 0, 545, 0, 0, 0, 0, 0, 0, 13, 103, 661
"d:\code\source code\vue-next\packages\runtime-core\__tests__\rendererChildren.spec.ts", "TypeScript", 0, 0, 531, 0, 0, 0, 0, 0, 0, 7, 91, 629
"d:\code\source code\vue-next\packages\runtime-core\__tests__\rendererComponent.spec.ts", "TypeScript", 0, 0, 238, 0, 0, 0, 0, 0, 0, 8, 33, 279
"d:\code\source code\vue-next\packages\runtime-core\__tests__\rendererElement.spec.ts", "TypeScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 11, 52
"d:\code\source code\vue-next\packages\runtime-core\__tests__\rendererFragment.spec.ts", "TypeScript", 0, 0, 283, 0, 0, 0, 0, 0, 0, 11, 25, 319
"d:\code\source code\vue-next\packages\runtime-core\__tests__\rendererOptimizedMode.spec.ts", "TypeScript", 0, 0, 439, 0, 0, 0, 0, 0, 0, 16, 66, 521
"d:\code\source code\vue-next\packages\runtime-core\__tests__\scheduler.spec.ts", "TypeScript", 0, 0, 469, 0, 0, 0, 0, 0, 0, 29, 64, 562
"d:\code\source code\vue-next\packages\runtime-core\__tests__\scopeId.spec.ts", "TypeScript", 0, 0, 146, 0, 0, 0, 0, 0, 0, 19, 16, 181
"d:\code\source code\vue-next\packages\runtime-core\__tests__\vnode.spec.ts", "TypeScript", 0, 0, 532, 0, 0, 0, 0, 0, 0, 31, 70, 633
"d:\code\source code\vue-next\packages\runtime-core\__tests__\vnodeHooks.spec.ts", "TypeScript", 0, 0, 88, 0, 0, 0, 0, 0, 0, 2, 9, 99
"d:\code\source code\vue-next\packages\runtime-core\api-extractor.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\code\source code\vue-next\packages\runtime-core\index.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\code\source code\vue-next\packages\runtime-core\package.json", "JSON", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"d:\code\source code\vue-next\packages\runtime-core\src\apiAsyncComponent.ts", "TypeScript", 0, 0, 183, 0, 0, 0, 0, 0, 0, 4, 20, 207
